 r Theta rho m1 m2 m3
        6144          96          64
   200.00000000000000     
  0.750257E+01  0.474797E+00  0.100604E-07  0.912007E-11  0.169186E-13 -0.801578E-22
  0.767707E+01  0.474797E+00  0.100459E-07  0.801909E-11 -0.638764E-15 -0.108901E-22
  0.785563E+01  0.474797E+00  0.100186E-07  0.693322E-11 -0.140468E-13 -0.238637E-23
  0.803834E+01  0.474797E+00  0.100114E-07  0.646738E-11 -0.191000E-13 -0.218054E-23
  0.822530E+01  0.474797E+00  0.100199E-07  0.588619E-11 -0.188840E-13 -0.633796E-24
  0.841662E+01  0.474797E+00  0.100275E-07  0.474454E-11 -0.109477E-13 -0.245615E-25
  0.861238E+01  0.474797E+00  0.100235E-07  0.327163E-11 -0.335688E-14 -0.331296E-29
  0.881269E+01  0.474797E+00  0.100121E-07  0.190869E-11 -0.132502E-14  0.000000E+00
  0.901766E+01  0.474797E+00  0.100038E-07  0.823454E-12 -0.617044E-15  0.000000E+00
  0.922740E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.944202E+01  0.474797E+00  0.100036E-07  0.808182E-11  0.201105E-14 -0.230438E-20
  0.966163E+01  0.474797E+00  0.100212E-07  0.964875E-11 -0.119088E-14 -0.737050E-20
  0.988635E+01  0.474797E+00  0.100141E-07  0.932713E-11 -0.263166E-14 -0.108962E-19
  0.111279E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.113867E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.116516E+01  0.708137E+00  0.100000E-07  0.232495E-12 -0.122669E-17 -0.997424E-50
  0.119226E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.121999E+01  0.708137E+00  0.100005E-07  0.446599E-12  0.330492E-16 -0.752649E-34
  0.124837E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.127740E+01  0.708137E+00  0.100006E-07  0.624859E-12  0.184184E-16 -0.101695E-30
  0.130711E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.133751E+01  0.708137E+00  0.100009E-07  0.893333E-12 -0.666453E-17  0.568305E-26
  0.136862E+01  0.708137E+00  0.100004E-07  0.187982E-12  0.551832E-17  0.325855E-25
  0.140045E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.143303E+01  0.708137E+00  0.100025E-07  0.974611E-12  0.304385E-16  0.185155E-19
  0.146636E+01  0.708137E+00  0.100001E-07  0.248002E-12 -0.412200E-16  0.196859E-20
  0.150046E+01  0.708137E+00  0.100009E-07  0.125980E-11  0.106384E-15  0.456726E-22
  0.153536E+01  0.708137E+00  0.100023E-07  0.669739E-12 -0.637157E-16  0.334472E-23
  0.157107E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.160761E+01  0.708137E+00  0.100029E-07  0.172738E-11  0.718292E-15  0.478568E-22
  0.164501E+01  0.708137E+00  0.100033E-07  0.149430E-11 -0.418135E-15  0.145563E-21
  0.168327E+01  0.708137E+00  0.100018E-07  0.127989E-11 -0.936561E-15  0.497799E-23
  0.172242E+01  0.708137E+00  0.100024E-07  0.873848E-12  0.318526E-15  0.226195E-24
  0.176248E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.180347E+01  0.708137E+00  0.100030E-07  0.285406E-11 -0.265427E-15  0.312657E-20
  0.184542E+01  0.708137E+00  0.100145E-07  0.266065E-11  0.207849E-15  0.193233E-20
  0.188834E+01  0.708137E+00  0.100081E-07  0.119272E-11  0.723084E-15  0.132051E-21
  0.193226E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.197720E+01  0.708137E+00  0.100057E-07  0.313015E-11  0.188112E-14 -0.560227E-25
  0.202319E+01  0.708137E+00  0.100169E-07  0.280148E-11  0.284483E-14 -0.435536E-25
  0.207025E+01  0.708137E+00  0.100082E-07  0.116606E-11  0.157831E-14 -0.545994E-26
  0.211840E+01  0.708137E+00  0.100000E-07  0.169341E-13  0.167175E-16 -0.109372E-30
  0.216767E+01  0.708137E+00  0.100000E-07  0.135869E-13 -0.362541E-18  0.227909E-32
  0.221809E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.226968E+01  0.708137E+00  0.100049E-07  0.423892E-11 -0.144617E-14  0.128989E-25
  0.232247E+01  0.708137E+00  0.100181E-07  0.421793E-11 -0.272709E-14  0.179434E-25
  0.237649E+01  0.708137E+00  0.100225E-07  0.288271E-11 -0.137422E-14  0.174653E-25
  0.243176E+01  0.708137E+00  0.100078E-07  0.103036E-11 -0.260114E-15  0.238849E-25
  0.248832E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.254620E+01  0.708137E+00  0.100181E-07  0.491394E-11 -0.130373E-14  0.681512E-24
  0.260542E+01  0.708137E+00  0.100388E-07  0.469556E-11 -0.351694E-14  0.303516E-24
  0.266602E+01  0.708137E+00  0.100273E-07  0.242460E-11 -0.480407E-14  0.105816E-24
  0.272803E+01  0.708137E+00  0.100030E-07  0.473803E-12 -0.831973E-15  0.376453E-24
  0.279148E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.285640E+01  0.708137E+00  0.100227E-07  0.501787E-11  0.371868E-14  0.716985E-22
  0.292284E+01  0.708137E+00  0.100354E-07  0.427298E-11 -0.456325E-14  0.715141E-22
  0.299082E+01  0.708137E+00  0.100187E-07  0.208279E-11 -0.516178E-14  0.567805E-22
  0.306038E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.313156E+01  0.708137E+00  0.100147E-07  0.518211E-11  0.359040E-14  0.230778E-21
  0.320440E+01  0.708137E+00  0.100432E-07  0.610539E-11 -0.729958E-14  0.138870E-21
  0.327893E+01  0.708137E+00  0.100390E-07  0.468070E-11 -0.133992E-13  0.531411E-22
  0.335520E+01  0.708137E+00  0.100198E-07  0.303425E-11 -0.638753E-14  0.129138E-21
  0.343323E+01  0.708137E+00  0.100105E-07  0.174487E-11  0.284029E-14  0.271899E-22
  0.351309E+01  0.708137E+00  0.100005E-07  0.125178E-12  0.366512E-15  0.494286E-25
  0.359480E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.367841E+01  0.708137E+00  0.100331E-07  0.673692E-11 -0.145045E-13  0.452583E-21
  0.376396E+01  0.708137E+00  0.100485E-07  0.580008E-11 -0.932174E-15  0.114630E-21
  0.385151E+01  0.708137E+00  0.100335E-07  0.328806E-11  0.621048E-14 -0.474427E-23
  0.394109E+01  0.708137E+00  0.100049E-07  0.136713E-11  0.207351E-14 -0.579459E-22
  0.403275E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.412655E+01  0.708137E+00  0.100447E-07  0.740562E-11  0.356966E-14 -0.482412E-20
  0.422253E+01  0.708137E+00  0.100740E-07  0.690459E-11  0.131072E-13  0.633089E-20
  0.432074E+01  0.708137E+00  0.100532E-07  0.414516E-11  0.151554E-13  0.141481E-18
  0.442124E+01  0.708137E+00  0.100179E-07  0.170848E-11  0.924129E-14  0.293916E-18
  0.452407E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.462929E+01  0.708137E+00  0.100083E-07  0.428379E-11 -0.199938E-13  0.172070E-16
  0.473697E+01  0.708137E+00  0.100353E-07  0.517452E-11 -0.173730E-13  0.106294E-16
  0.484714E+01  0.708137E+00  0.100318E-07  0.348708E-11 -0.538624E-14  0.155019E-17
  0.495988E+01  0.708137E+00  0.100068E-07  0.150967E-11 -0.748350E-15  0.634296E-20
  0.507524E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.519328E+01  0.708137E+00  0.100289E-07  0.605604E-11 -0.147033E-13  0.286685E-19
  0.531407E+01  0.708137E+00  0.100482E-07  0.556398E-11 -0.660260E-14  0.894179E-20
  0.543767E+01  0.708137E+00  0.100325E-07  0.324614E-11  0.321727E-14 -0.654417E-21
  0.556415E+01  0.708137E+00  0.100009E-07  0.174392E-11  0.222495E-14 -0.136103E-21
  0.569356E+01  0.708137E+00  0.100054E-07  0.587779E-11 -0.437886E-14  0.106115E-21
  0.582599E+01  0.708137E+00  0.100547E-07  0.792631E-11 -0.119231E-13  0.643527E-22
  0.596149E+01  0.708137E+00  0.100711E-07  0.644049E-11 -0.124501E-13  0.131634E-22
  0.610015E+01  0.708137E+00  0.100456E-07  0.347397E-11 -0.101924E-13  0.260461E-26
  0.624203E+01  0.708137E+00  0.100122E-07  0.123215E-11 -0.414918E-14 -0.862575E-28
  0.638722E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.653577E+01  0.708137E+00  0.100219E-07  0.608002E-11  0.417831E-14 -0.308564E-18
  0.668779E+01  0.708137E+00  0.100620E-07  0.755938E-11 -0.149100E-13 -0.286285E-18
  0.684334E+01  0.708137E+00  0.100579E-07  0.588370E-11 -0.283298E-13 -0.657752E-19
  0.700251E+01  0.708137E+00  0.100303E-07  0.379544E-11 -0.237995E-13 -0.198553E-21
  0.716538E+01  0.708137E+00  0.100138E-07  0.251677E-11 -0.754142E-14 -0.165720E-22
  0.733204E+01  0.708137E+00  0.100080E-07  0.147081E-11  0.250629E-14 -0.110616E-22
  0.750257E+01  0.708137E+00  0.100001E-07  0.435572E-13  0.154977E-15 -0.145150E-24
  0.767707E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.785563E+01  0.708137E+00  0.100387E-07  0.942202E-11 -0.379563E-13 -0.781455E-21
  0.803834E+01  0.708137E+00  0.100527E-07  0.848971E-11 -0.282861E-13 -0.215025E-21
